Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
676,2014-01-01,Karnataka,Mandya,"KSPCB Office Premises, Mandya",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",11.0,22.0,38.0,
406,2014-01-01,Karnataka,Bangalore,"Victoria Hospital, Bangalore",Karnataka State Pollution Control Board,Sensitive Area,13.0,29.0,117.0,
405,2014-01-01,Karnataka,Bangalore,"Peenya Industrial Area, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15.0,29.0,132.0,
460,2014-01-01,Karnataka,Belgaum,"Karnataka SPCB Office Building, Belgaum",Karnataka State Pollution Control Board,Industrial Area,2.0,14.0,61.0,
488,2014-01-02,Karnataka,Mangalore,"Stides Premises, Baikampady Industrial Area, Mangalore",Karnataka State Pollution Control Board,Industrial Area,8.0,9.0,43.0,
460,2014-01-02,Karnataka,Belgaum,"Karnataka SPCB Office Building, Belgaum",Karnataka State Pollution Control Board,Industrial Area,2.0,13.0,111.0,
488,2014-01-03,Karnataka,Mangalore,"Stides Premises, Baikampady Industrial Area, Mangalore",Karnataka State Pollution Control Board,Industrial Area,6.0,5.0,30.0,
683,2014-01-04,Karnataka,Kolar,"KSPCB Office Premises, Kolar",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5.0,12.0,39.0,
676,2014-01-04,Karnataka,Mandya,"KSPCB Office Premises, Mandya",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",11.0,24.0,52.0,
432,2014-01-04,Karnataka,Dharwad,"Lakkamanahalli Industrial Area, Dharwar",Karnataka State Pollution Control Board,Industrial Area,5.0,22.0,104.0,
680,2014-01-04,Karnataka,Shimoga,"The VISL, Oxygen Plant, Shimoga",Karnataka State Pollution Control Board,Industrial Area,4.0,6.0,34.0,
674,2014-01-04,Karnataka,Davangere,"Mothi Talkies P.B. Road, Devengere",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7.0,10.0,189.0,
673,2014-01-04,Karnataka,Davangere,"KSPCB Office Premises, Devengere",Karnataka State Pollution Control Board,Industrial Area,3.0,6.0,65.0,
431,2014-01-05,Karnataka,Hubli,"Rani Chennamma Circle, Hubli",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",4.0,24.0,137.0,
488,2014-01-07,Karnataka,Mangalore,"Stides Premises, Baikampady Industrial Area, Mangalore",Karnataka State Pollution Control Board,Industrial Area,3.0,5.0,17.0,
683,2014-01-07,Karnataka,Kolar,"KSPCB Office Premises, Kolar",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7.0,13.0,117.0,
405,2014-01-07,Karnataka,Bangalore,"Peenya Industrial Area, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15.0,32.0,157.0,
78,2014-01-07,Karnataka,Bangalore,"AMCO Batteries, Mysore Road, Bangalore",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",16.0,31.0,166.0,
432,2014-01-07,Karnataka,Dharwad,"Lakkamanahalli Industrial Area, Dharwar",Karnataka State Pollution Control Board,Industrial Area,5.0,18.0,55.0,
328,2014-01-07,Karnataka,Mysore,"KSPCB Bldg. Hebbal Ind. Area, Mysore",Karnataka State Pollution Control Board,Industrial Area,11.0,22.0,67.0,
457,2014-01-07,Karnataka,Bangalore,"Yeshwanthpura, Bangalore",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",13.0,29.0,80.0,
674,2014-01-07,Karnataka,Davangere,"Mothi Talkies P.B. Road, Devengere",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6.0,9.0,140.0,
676,2014-01-07,Karnataka,Mandya,"KSPCB Office Premises, Mandya",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",12.0,22.0,35.0,
683,2014-01-08,Karnataka,Kolar,"KSPCB Office Premises, Kolar",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5.0,12.0,47.0,
405,2014-01-08,Karnataka,Bangalore,"Peenya Industrial Area, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15.0,30.0,77.0,
457,2014-01-08,Karnataka,Bangalore,"Yeshwanthpura, Bangalore",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",10.0,28.0,40.0,
488,2014-01-08,Karnataka,Mangalore,"Stides Premises, Baikampady Industrial Area, Mangalore",Karnataka State Pollution Control Board,Industrial Area,8.0,8.0,23.0,
328,2014-01-08,Karnataka,Mysore,"KSPCB Bldg. Hebbal Ind. Area, Mysore",Karnataka State Pollution Control Board,Industrial Area,11.0,22.0,26.0,
78,2014-01-08,Karnataka,Bangalore,"AMCO Batteries, Mysore Road, Bangalore",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",15.0,30.0,197.0,
679,2014-01-09,Karnataka,Chitradurga,"KSPCB Office Premises, Chitradurga",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",2.0,5.0,16.0,
458,2014-01-09,Karnataka,Hassan,"Narashima Raja Circle, Hassan",Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6.0,19.0,24.0,
460,2014-01-09,Karnataka,Belgaum,"Karnataka SPCB Office Building, Belgaum",Karnataka State Pollution Control Board,Industrial Area,2.0,6.0,,
680,2014-01-09,Karnataka,Shimoga,"The VISL, Oxygen Plant, Shimoga",Karnataka State Pollution Control Board,Industrial Area,4.0,7.0,21.0,
